Stock,Sector,R-Squared
PEP,Consumer Staples,0.5613
XOM,Energy,0.3313
TSLA,Consumer Discretionary,0.1671
NVDA,Technology,0.6841
AAPL,Technology,0.5659
JPM,Financials,0.453
V,Financials,0.3553
AMGN,Healthcare,0.4623
MSFT,Technology,0.1099
GILD,Healthcare,0.4193
