fips,stabb,state_1860,county_name_1860,totpop_1860,slave_1860,slave_share_1860,foreign_share_1860,log_pop_1860,log_farm_value_pc_1860,impr_share_1860,land_gini_1860,n_farms_1860,n_slaveholders_1860,slaves_per_holder_1860,farm_value_1860,year,covpop,cpop,covind,murder,violent,property,murder_rate,violent_rate,property_rate,log_violent_rate,log_property_rate,asinh_violent_rate,log_covpop
1001,AL,Alabama,Autauga,16739.0,9607.0,0.5739291474998507,0.0017922217575721368,9.72549660510262,5.1551676951610155,0.29999453449869967,0.5681753184603253,730.0,576.0,16.678819444444443,2901285.0,2010,54571,56219.0,100.0,0,143,1521,0.0,262.0439427534771,2787.1946638324384,5.5685122101307165,7.932790872130102,6.2616630314283235,10.907257885099419
1003,AL,Alabama,Baldwin,7530.0,3714.0,0.4932270916334661,0.05670650730411687,8.92665032079394,4.129765543309398,0.12190753251749092,0.6507874157599077,188.0,289.0,12.85121107266436,468090.0,2010,182265,182265.0,94.7822,3,386,4161,1.6459550654267139,211.77955175157052,2282.939675746852,5.355545883424237,7.733219222942348,6.048698638001684,12.113216951010822
1005,AL,Alabama,Barbour,30812.0,16150.0,0.5241464364533299,0.006783071530572504,10.335659503472856,5.081420491506706,0.3918112112520911,0.5604346621997083,1529.0,1143.0,14.129483814523185,4960812.0,2010,27178,27457.0,100.0,1,25,455,3.679446611229671,91.98616528074177,1674.1482081095003,4.521638188357986,7.423059782440736,5.2148149133559505,10.210163101480443
1007,AL,Alabama,Bibb,11894.0,3842.0,0.32302001008912057,0.001933748108289894,9.38378935026654,4.798067730770698,0.2447362300038985,0.5041125202038744,878.0,447.0,8.595078299776286,1442455.0,2010,22915,22866.0,100.0,0,59,408,0.0,257.4732707833297,1780.4931267728562,5.550915911932724,7.484645642431166,6.244066863637848,10.039546996943224
1009,AL,Alabama,Blount,10865.0,666.0,0.06129774505292223,0.00036815462494247585,9.29330189269053,4.338886608146206,0.21210692638449982,0.47357737596280974,711.0,125.0,5.328,832500.0,2010,57322,57322.0,79.7107,0,24,305,0.0,41.86874149541188,532.0819231708593,3.7345395221494613,6.276797468408927,4.427829285565559,10.956439773168713
1013,AL,Alabama,Butler,18122.0,6818.0,0.3762277894272155,0.004359342235956297,9.804881948782006,5.092685951125898,0.24584898189071466,0.5006552362275657,1027.0,748.0,9.114973262032086,2950744.0,2010,20947,20955.0,100.0,1,66,544,4.773953310736621,315.080918508617,2597.0306010407216,5.752829489990888,7.862123994820405,6.445979188773696,9.949750717005767
1015,AL,Alabama,Calhoun,21539.0,4342.0,0.20158781744742096,0.002089233483448628,9.977620524377356,4.834615027236528,0.33691201183034214,0.5223949887413808,1637.0,567.0,7.657848324514991,2709394.0,2010,118572,122530.0,100.0,7,511,4652,5.903586006814425,430.961778497453,3923.354586242958,6.0660194051909695,8.274702328625821,6.7591679318022475,11.683275649982964
1017,AL,Alabama,Chambers,23214.0,11849.0,0.5104247436891531,0.0029292668217454983,10.052510823928568,4.8735185248143775,0.5229903663381448,0.47065873804950137,1288.0,1298.0,9.128659476117104,3035933.0,2010,18995,34215.0,100.0,0,107,1340,0.0,563.3061331929455,7054.488023163991,6.333823233810409,8.86141929229346,7.026971202233046,9.851931065621725
1019,AL,Alabama,Cherokee,18360.0,3002.0,0.16350762527233115,0.0022331154684095862,9.817929664174482,5.089257519590097,0.3288267369515274,0.49928571466442007,1285.0,498.0,6.028112449799197,2979265.0,2010,25989,25968.0,100.0,1,84,687,3.847781753818923,323.21366732078957,2643.4260648736004,5.778313613255292,7.879831106634327,6.471463186905148,10.16542865055825
1023,AL,Alabama,Choctaw,13877.0,7094.0,0.5112055919867406,0.0034589608705051524,9.53798807237101,5.287852043989996,0.26275218907951875,0.5225426845886807,821.0,640.0,11.084375,2746506.0,2010,13638,13859.0,100.0,0,18,64,0.0,131.98416190057193,469.2770200909224,4.882681929785795,6.151193255249302,5.575843461506247,9.520615293080597
